Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.12810,529,10,12,6,6,0.864,0.181,0.999976,0.878457,0.74451
m.9578,173,39,41,15,15,10.265,2.0194,0.408882,0.192913,0.822666
m.9587,410,1,1,1,0,1.023,0.1673,0.999949,0.88001,0.742084
m.9595,223,34,38,26,29,-2.071,-0.4835,0.883437,0.91325,0.568644
m.9596,217,1,1,0,1,3.191,0.298,1,0.863537,0.763308
m.9604,530,1,1,0,1,11.626,1.0419,0.966119,0.658034,0.825424
m.9621,354,0,0,0,0,-4.548,-0.5754,0.840369,0.911008,0.537669
m.9627,515,0,1,0,0,12.447,1.1926,0.934516,0.587547,0.829499
m.9628,960,3,2,0,3,0.273,0.0256,0.999284,0.89404,0.713926
m.965,551,14,14,12,9,4.279,1.0045,0.971944,0.674051,0.824071
m.10146,361,1,0,0,1,-5.504,-0.7543,0.7471,0.902395,0.476497
m.12818,193,5,5,5,8,0.479,0.117,0.999997,0.885401,0.732744
m.9652,236,12,10,8,6,2.854,0.5608,1,0.816396,0.794875
m.9654,1097,0,1,0,0,-2.689,-0.489,0.880995,0.913163,0.566809
m.9689,170,11,11,6,10,-0.273,-0.079,0.993699,0.902162,0.689356
m.9699,450,41,40,26,30,0.392,0.1324,0.999976,0.883801,0.735677
m.9713,489,0,0,0,0,-0.367,-0.0609,0.995201,0.900895,0.693838
m.9734,585,0,1,0,2,-8.071,-0.8736,0.683652,0.894302,0.436034
m.9740,719,1,1,0,0,3.219,0.4302,1,0.842523,0.780837
m.9753,748,9,11,6,11,8.987,1.3356,0.886929,0.513651,0.831529
m.9756,182,5,7,4,4,2.291,0.4435,1,0.840126,0.782406
m.9774,382,3,3,2,2,-7.802,-1.4676,0.416361,0.849749,0.2455
m.12824,377,21,22,13,16,4.772,1.7485,0.601219,0.300685,0.828902
m.9778,264,2,3,2,1,8.498,1.1681,0.940739,0.599605,0.828979
m.9816,202,2,2,1,1,-2.239,-0.1819,0.979867,0.908197,0.662121
m.983,610,1,2,1,1,-9.036,-1.5761,0.371677,0.842921,0.214363
m.9837,123,1,3,0,1,10.086,1.9558,0.444687,0.215651,0.824203
m.985,403,1,0,0,0,1.504,0.2041,1,0.87575,0.748489
m.9853,405,2,3,0,3,-0.615,-0.1005,0.991575,0.90359,0.683908
m.9873,222,5,4,3,4,5.788,1.4698,0.818862,0.441438,0.831979
m.9880,463,1,2,0,1,-2.862,-0.4652,0.891417,0.913495,0.574726
m.9881,429,0,0,0,0,-6.994,-1.0283,0.607863,0.882365,0.384548
m.9886,890,3,2,0,1,-6.154,-1.0811,0.584088,0.878178,0.367204
m.12825,688,1,1,0,0,1.272,0.1789,0.999968,0.878697,0.744141
m.9891,150,11,14,6,9,-1.388,-0.2603,0.962722,0.911375,0.63953
m.9896,824,1,1,0,0,0.431,0.0487,0.999696,0.891992,0.718914
m.9912,268,1,1,0,0,7.794,0.7983,0.997313,0.751147,0.813728
m.9927,451,1,2,0,0,-5.401,-1.0045,0.618895,0.884249,0.3924
m.9935,160,3,3,1,2,11.031,1.8688,0.503874,0.249141,0.826297
m.9939,196,2,3,1,3,-0.803,-0.1241,0.988793,0.905057,0.677778
m.9956,418,2,1,1,2,10.685,1.9515,0.447337,0.217239,0.824308
m.9972,351,10,9,3,5,6.554,1.625,0.70632,0.360037,0.830879
m.9986,274,7,6,3,4,8.577,0.8848,0.987618,0.72109,0.818706
m.9987,752,0,1,0,0,6.494,0.6229,1,0.801748,0.800564
m.12826,335,0,1,0,1,-0.533,-0.0703,0.994453,0.90156,0.691522
symbB1.EST_k37c20_10192|m.23590,575,21,25,13,17,-3.27,-0.8926,0.673843,0.892897,0.42965
symbB1.EST_k37c20_10199|m.23603,313,2,3,2,2,0.05,0.0051,0.998717,0.895782,0.709367
symbB1.EST_k37c20_1036|m.2331,146,1,3,2,2,4.088,0.5109,1,0.827085,0.78986
symbB1.EST_k37c20_10952|m.25393,404,2,6,4,2,-0.731,-0.116,0.989802,0.904565,0.6799
symbB1.EST_k37c20_11005|m.25482,479,0,2,1,2,3.933,0.463,1,0.83651,0.784647
symbB1.EST_k37c20_11157|m.25744,424,0,1,0,1,7.922,1.1158,0.952503,0.624602,0.827688
symbB1.EST_k37c20_11310|m.26082,319,1,2,0,0,-5.013,-0.3976,0.918832,0.913793,0.596849
symbB1.EST_k37c20_1169|m.2671,307,9,10,7,10,1.418,0.4136,1,0.845438,0.778831
symbB1.EST_k37c20_12165|m.28039,1291,0,0,0,0,0.559,0.0654,0.99987,0.890455,0.722421
m.12829,263,1,2,0,1,2.867,0.3446,1,0.856681,0.769905
symbB1.EST_k37c20_12472|m.28674,778,0,0,0,0,3.162,0.786,0.998589,0.755163,0.812937
symbB1.EST_k37c20_12680|m.29198,525,1,2,0,1,-12.211,-1.3522,0.466349,0.857652,0.280381
symbB1.EST_k37c20_12825|m.29527,152,1,1,0,1,0.112,0.0146,0.999006,0.894984,0.711495
symbB1.EST_k37c20_13424|m.30860,415,2,4,0,1,-7.356,-1.132,0.561835,0.874167,0.350584
symbB1.EST_k37c20_1348|m.3129,292,1,1,1,1,3.529,0.7555,1,0.764839,0.810883
symbB1.EST_k37c20_1369|m.3168,235,2,5,1,2,0.605,0.0947,0.999997,0.887642,0.728377
symbB1.EST_k37c20_13945|m.31959,330,0,0,0,0,0.616,0.1147,0.999997,0.885636,0.7323
symbB1.EST_k37c20_14340|m.32799,3845,2,0,1,1,-3.849,-0.3883,0.922327,0.913757,0.599843
symbB1.EST_k37c20_151|m.344,204,3,4,1,1,-1.586,-0.1067,0.990889,0.903985,0.682313
symbB1.EST_k37c20_15413|m.35140,461,0,1,1,1,-1.738,-0.3298,0.942631,0.913107,0.618361
m.1283,112,3,3,1,3,-6.508,-0.8177,0.713102,0.898272,0.454918
symbB1.EST_k37c20_16090|m.36633,157,0,0,1,2,1.908,0.4405,1,0.840672,0.782055
symbB1.EST_k37c20_169|m.386,471,0,1,1,0,9.261,0.9963,0.973145,0.677479,0.823754
symbB1.EST_k37c20_17439|m.39726,295,0,0,1,1,-3.306,-0.5195,0.867123,0.912569,0.556586
symbB1.EST_k37c20_17557|m.39981,1210,1,0,1,1,12.312,1.9737,0.433968,0.209114,0.823768
symbB1.EST_k37c20_1763|m.4228,127,4,5,3,4,9.016,1.5847,0.738611,0.380616,0.831323
symbB1.EST_k37c20_17886|m.40673,796,0,0,0,1,-5.099,-0.4958,0.877952,0.913047,0.564537
symbB1.EST_k37c20_18007|m.40947,262,4,4,3,3,6.882,0.9171,0.983705,0.709031,0.820318
symbB1.EST_k37c20_1807|m.4315,605,0,0,1,1,-8.397,-1.1807,0.540841,0.870381,0.334783
symbB1.EST_k37c20_18914|m.42831,363,1,1,1,1,-14.749,-1.339,0.472133,0.858592,0.284474
m.12839,312,1,3,1,0,4.584,0.7833,0.998864,0.756036,0.81276
symbB1.EST_k37c20_1935|m.4600,892,5,7,4,3,-0.678,-0.1135,0.990101,0.904411,0.680551
symbB1.EST_k37c20_2060|m.4873,147,2,4,5,4,5.583,1.2382,0.921569,0.564576,0.83033
symbB1.EST_k37c20_2071|m.4896,126,5,8,4,6,5.266,0.7126,1,0.777678,0.807798
symbB1.EST_k37c20_20726|m.46522,157,4,3,3,4,-5.047,-1.0205,0.611455,0.882983,0.387119
symbB1.EST_k37c20_21115|m.47298,616,0,0,0,0,-6.887,-0.9454,0.647279,0.888878,0.412002
symbB1.EST_k37c20_21614|m.48388,335,2,1,0,1,-1.297,-0.2045,0.975528,0.909243,0.655761
symbB1.EST_k37c20_22246|m.49646,473,0,1,1,0,1.137,0.2226,1,0.873502,0.751579
symbB1.EST_k37c20_2316|m.5488,344,0,1,0,1,5.302,0.6024,1,0.806756,0.798751
symbB1.EST_k37c20_24260|m.53662,192,1,1,0,0,-1.545,-0.2626,0.96213,0.911449,0.638846
m.12859,409,1,1,1,1,7.234,0.5934,1,0.8089,0.797935
symbB1.EST_k37c20_24332|m.53801,388,1,2,0,0,3.746,0.5009,1,0.829118,0.788805
symbB1.EST_k37c20_2434|m.5762,166,0,0,0,0,2.254,0.2746,1,0.866773,0.759811
symbB1.EST_k37c20_2548|m.6110,212,6,7,5,6,6.976,0.8745,0.988832,0.724839,0.818165
symbB1.EST_k37c20_262|m.561,1089,7,8,6,6,-1.353,-0.2413,0.967418,0.910723,0.645139
symbB1.EST_k37c20_27166|m.59212,346,4,3,2,3,1.931,0.4619,1,0.836717,0.784522
symbB1.EST_k37c20_2835|m.6680,165,3,3,1,2,-0.142,-0.0221,0.997611,0.897981,0.703124
symbB1.EST_k37c20_2873|m.6770,351,2,2,3,2,-1.692,-0.1599,0.983627,0.907079,0.668185
symbB1.EST_k37c20_30052|m.64411,370,2,2,1,2,4.628,0.2967,1,0.86372,0.763117
symbB1.EST_k37c20_3045|m.7223,570,2,4,2,2,-1.364,-0.2077,0.974874,0.909383,0.654851
symbB1.EST_k37c20_3137|m.7441,137,2,4,0,1,-8.077,-0.9428,0.648561,0.889079,0.412867
m.1286,2829,315,312,270,300,1.001,2.1523,0.351698,0.149362,0.819687
symbB1.EST_k37c20_3194|m.7561,532,1,4,1,2,-1.392,-0.1376,0.986981,0.905849,0.674201
symbB1.EST_k37c20_319|m.681,429,3,4,1,2,-0.533,-0.0497,0.996005,0.900081,0.696564
symbB1.EST_k37c20_3367|m.8026,143,1,3,2,4,-3.958,-0.4922,0.879567,0.91311,0.565741
symbB1.EST_k37c20_34811|m.72609,265,1,2,0,1,-5.736,-0.9532,0.64345,0.888273,0.409406
symbB1.EST_k37c20_3550|m.8423,118,1,3,1,0,-2.878,-0.4707,0.889041,0.913429,0.572901
symbB1.EST_k37c20_3763|m.8967,138,4,6,5,6,-10.054,-1.1694,0.545701,0.871254,0.33844
symbB1.EST_k37c20_40880|m.81403,200,2,1,1,1,10.919,1.1319,0.949091,0.61702,0.828112
symbB1.EST_k37c20_4454|m.10626,401,0,2,0,0,-18.468,-2.7098,0.058454,0.806077,0.0263
symbB1.EST_k37c20_4530|m.10835,1086,2,3,2,4,-11.286,-3.5776,0.005818,0.802058,0.001137
symbB1.EST_k37c20_4585|m.10961,135,5,6,5,5,-2.115,-0.3355,0.940785,0.913203,0.616583
m.12872,385,7,4,2,3,-8.71,-1.2687,0.502845,0.863718,0.306569
symbB1.EST_k37c20_47047|m.87468,188,0,0,1,1,-0.701,-0.0738,0.994157,0.901804,0.690653
symbB1.EST_k37c20_47631|m.87845,639,1,1,0,0,5.141,0.2785,1,0.866243,0.760403
symbB1.EST_k37c20_47633|m.87846,268,0,0,1,0,2.65,0.5953,1,0.808451,0.798108
symbB1.EST_k37c20_47646|m.87855,135,2,3,2,4,-8.906,-1.5495,0.382376,0.844535,0.221838
symbB1.EST_k37c20_48001|m.88307,156,2,2,1,3,-6.505,-1.2548,0.508879,0.864753,0.31099
symbB1.EST_k37c20_48025|m.88342,199,2,4,1,4,10.762,1.4252,0.844494,0.465492,0.831978
symbB1.EST_k37c20_48387|m.88800,121,1,1,0,2,-5.737,-0.694,0.779371,0.905851,0.497125
symbB1.EST_k37c20_4866|m.11610,391,4,5,2,4,9.398,0.9738,0.976322,0.68673,0.82285
symbB1.EST_k37c20_48819|m.89293,326,0,0,1,1,0.526,0.0954,0.999997,0.887573,0.728516
symbB1.EST_k37c20_5116|m.12234,365,1,2,0,1,-7.219,-1.3326,0.474937,0.859051,0.286465
m.10164,157,0,0,0,0,5.348,0.8699,0.989368,0.726498,0.817919
m.12887,415,1,1,0,1,-8.497,-0.8468,0.697675,0.896239,0.44507
symbB1.EST_k37c20_55677|m.94421,130,1,1,2,0,-3.343,-0.3677,0.929814,0.913613,0.60643
symbB1.EST_k37c20_57176|m.95446,360,1,1,0,0,9.326,1.0078,0.971453,0.672662,0.824196
symbB1.EST_k37c20_5771|m.13757,265,3,4,1,4,1.145,0.126,0.999983,0.884471,0.734466
symbB1.EST_k37c20_59568|m.96245,208,2,3,2,2,0.007,0.0012,0.998585,0.896105,0.708485
symbB1.EST_k37c20_6130|m.14576,559,1,2,0,1,-0.202,-0.0282,0.997299,0.898457,0.701693
symbB1.EST_k37c20_6155|m.14644,880,1,1,1,1,-2.455,-0.3066,0.949839,0.912645,0.625536
symbB1.EST_k37c20_6169|m.14671,436,1,2,0,1,0.087,0.0161,0.999048,0.894856,0.711829
symbB1.EST_k37c20_6258|m.14822,332,1,0,0,1,-8.171,-1.0249,0.609426,0.882634,0.385668
symbB1.EST_k37c20_6575|m.15589,213,3,3,3,2,-7.101,-0.8973,0.671435,0.892545,0.428074
m.129,503,3,2,0,1,8.398,0.8713,0.989206,0.725994,0.817994
symbB1.EST_k37c20_6593|m.15621,461,1,2,0,1,2.001,0.3399,1,0.857398,0.769261
symbB1.EST_k37c20_6718|m.15903,478,0,1,0,0,2.076,0.3039,1,0.8627,0.76417
symbB1.EST_k37c20_679|m.1487,246,2,2,2,2,1.04,0.1309,0.999977,0.883959,0.735395
symbB1.EST_k37c20_6866|m.16214,439,0,0,0,0,9.058,1.4919,0.804985,0.42957,0.831926
symbB1.EST_k37c20_753|m.1636,362,2,3,2,2,2.209,0.4614,1,0.836811,0.784465
symbB1.EST_k37c20_7975|m.18657,473,0,1,0,1,2.102,0.2817,1,0.865805,0.760886
symbB1.EST_k37c20_8064|m.18902,416,0,1,0,0,-7.376,-0.6961,0.778255,0.905739,0.496406
symbB1.EST_k37c20_8373|m.19579,378,7,7,4,8,6.999,1.0558,0.963789,0.651924,0.825891
symbB1.EST_k37c20_8896|m.20721,588,2,2,2,2,1.746,0.263,1,0.868328,0.758031
m.12917,415,6,7,4,5,-2.472,-0.2781,0.958009,0.911918,0.634204
symbB1.EST_k37c20_9275|m.21620,2120,0,1,0,1,-1.009,-0.1029,0.991313,0.903744,0.683292
symbB1.EST_k37c20_9362|m.21825,318,3,5,2,3,17.334,2.2823,0.305133,0.111755,0.817257
m.10061,510,3,2,1,6,-2.424,-0.2824,0.956826,0.912038,0.632907
m.10199,219,7,8,4,5,2.472,0.5534,1,0.81804,0.794157
m.10264,203,0,0,0,0,3.656,0.6195,1,0.802591,0.800268
m.4337,518,0,0,0,0,-2.733,-0.469,0.889778,0.91345,0.573466
m.10324,680,4,4,2,4,-1.099,-0.2819,0.956964,0.912025,0.633058
m.1036,1192,1,1,1,1,0.948,0.1211,0.999992,0.884979,0.733531
m.12941,323,5,7,2,5,5.851,0.946,0.980038,0.697845,0.821654
m.10517,796,1,0,0,0,1.335,0.2824,1,0.865709,0.760991
m.10603,487,0,1,0,0,5.77,0.6349,1,0.798734,0.801597
m.10605,698,4,5,1,2,9.582,1.96,0.442126,0.214107,0.824101
m.10713,218,10,10,7,9,2.043,0.4443,1,0.83998,0.782499
m.12813,219,3,5,5,6,-1.021,-0.1862,0.979079,0.908404,0.660921
symbB1.EST_k37c20_37952|m.77340,217,0,0,1,1,5.242,0.784,0.998793,0.75581,0.812806
m.10928,723,14,4,4,5,-2.608,-0.452,0.897032,0.913629,0.57909
m.11115,300,3,3,2,1,-8.549,-1.185,0.538991,0.870049,0.333394
m.21828,279,3,3,1,1,4.025,0.5905,1,0.809584,0.79767
m.2713,305,2,2,1,1,-11.574,-1.1395,0.55859,0.87358,0.348144
m.19703,231,1,1,0,0,5.765,1.0208,0.969478,0.667147,0.824678
m.113,378,56,59,40,46,2.093,1.3783,0.86813,0.490782,0.831819
symbB1.EST_k37c20_41902|m.82682,468,19,19,16,15,7.226,2.484,0.21041,0.065925,0.814214
m.31439,231,8,9,6,8,-0.259,-0.0556,0.995594,0.900512,0.695133
m.11458,213,3,4,2,2,-1.427,-0.1684,0.982228,0.907523,0.665857
m.11995,326,3,4,2,2,-3.187,-0.4649,0.891546,0.913499,0.574825
m.31539,379,2,2,1,2,-1.317,-0.1917,0.978045,0.908663,0.659379
m.14932,175,0,1,0,1,8.797,1.3485,0.881506,0.506766,0.831631
m.5696,189,5,5,4,5,-12.3,-1.8564,0.26436,0.828379,0.142835
m.12129,447,126,138,77,99,-1.202,-0.6904,0.781282,0.906041,0.498358
m.29835,460,117,127,72,89,7.326,5.1463,0.000001,0,0.801472
m.30405,235,81,87,46,62,4.937,2.7132,0.113611,0.033591,0.811169
m.2128,233,57,62,33,45,-3.819,-2.1634,0.159926,0.817017,0.083863
m.28478,448,29,30,26,31,1.047,0.2894,1,0.864742,0.762038
m.36059,184,17,22,16,15,4.25,1.0865,0.958281,0.638133,0.826854
symbB1.EST_k37c20_23066|m.51297,469,28,29,23,28,-0.715,-0.1914,0.978103,0.908649,0.659463
m.12942,291,0,0,0,1,1.069,0.2555,1,0.869316,0.756863
m.1245,204,21,24,20,22,1.368,0.808,0.996287,0.747935,0.814337
m.15067,179,6,5,4,5,-11.904,-1.007,0.617726,0.884051,0.391574
m.10914,217,4,6,4,4,3.968,0.8924,0.986713,0.718294,0.819097
m.17885,208,5,3,3,2,-15.678,-2.3259,0.116756,0.812601,0.061474
m.12699,199,10,8,9,9,5.051,1.1516,0.944666,0.607604,0.828599
m.14255,219,7,6,3,6,7.542,0.6382,1,0.797894,0.801877
m.1509,223,6,5,3,3,-5.223,-1.1758,0.542948,0.870759,0.336368
m.18748,201,8,6,6,6,2.213,0.1937,1,0.876983,0.746715
m.1242,255,5,3,2,2,-9.352,-1.3717,0.45781,0.856275,0.27437
symbB1.EST_k37c20_46370|m.87062,230,4,2,2,2,-6.028,-1.0022,0.619973,0.884431,0.39316
m.7341,237,3,2,2,2,1.31,0.27,1,0.867393,0.759109
symbB1.EST_k37c20_56818|m.95252,228,5,4,6,6,-3.689,-0.8246,0.709428,0.897797,0.45258
m.12659,176,1,1,0,0,-3.174,-0.3054,0.950198,0.912618,0.625904
m.12690,150,0,1,0,0,-7.855,-1.1867,0.53826,0.869919,0.332845
m.12709,550,9,10,3,5,-5.575,-0.7818,0.732318,0.900663,0.467119
m.12711,510,7,9,2,3,2.917,0.5104,1,0.827187,0.789808
m.12724,296,1,2,0,2,0.054,0.006,0.998746,0.895707,0.709569
m.12733,700,10,10,7,11,-4.808,-1.2441,0.513515,0.865554,0.314403
m.12781,500,1,1,0,0,10.405,1.1898,0.935251,0.588936,0.829443
m.12890,232,2,1,0,1,-15.515,-1.8333,0.273003,0.829414,0.148157
m.12970,372,6,8,2,4,0.772,0.1477,0.999955,0.882168,0.738527
m.12945,765,0,0,0,0,5.321,0.6036,1,0.806468,0.798859
m.13047,186,10,9,2,5,-4.087,-0.7004,0.775968,0.905508,0.494933
m.26081,187,11,10,5,6,1.435,0.2312,1,0.872431,0.752985
m.13119,549,7,6,4,6,-11.381,-2.248,0.136093,0.814592,0.071489
m.1334,391,1,0,1,1,6.515,0.9258,0.982619,0.705703,0.820731
m.13436,653,1,1,5,7,-17.236,-1.3883,0.450555,0.855115,0.269289
m.13638,869,0,0,0,0,-6.365,-0.5607,0.847556,0.911476,0.542662
m.13659,548,1,0,1,1,-4.909,-0.5443,0.855452,0.911951,0.548218
m.1168,430,0,0,0,0,-2.881,-0.2397,0.967798,0.910664,0.645607
m.13801,461,0,1,0,0,7.084,0.7526,1,0.765735,0.810681
m.1390,448,7,7,5,8,-2.922,-0.5778,0.839187,0.910928,0.536852
m.1391,160,2,3,0,0,-2.492,-0.3707,0.928746,0.91364,0.605475
m.1396,509,3,1,0,2,4.218,0.5088,1,0.827515,0.78964
m.13574,515,2,2,0,2,0.353,0.0642,0.999861,0.890567,0.722172
m.1296,468,3,4,2,4,-2.309,-0.3256,0.943973,0.913032,0.619668
m.14282,326,1,0,0,0,-13.545,-1.7351,0.310112,0.834128,0.172018
m.145,467,0,1,1,1,6.337,0.8691,0.989462,0.726785,0.817876
m.14924,360,0,0,0,0,-1.847,-0.4065,0.915421,0.913809,0.593971
m.1493,232,8,8,2,2,-6.754,-1.3081,0.485664,0.860822,0.294127
m.15139,435,47,43,39,41,6.675,1.799,0.558764,0.278273,0.827871
symbB1.EST_k37c20_26730|m.58389,993,5,6,2,4,-4.816,-0.7947,0.725397,0.899819,0.462729
symbB1.EST_k37c20_1952|m.4632,728,4,4,1,4,5.306,1.2545,0.916475,0.556213,0.830584
symbB1.EST_k37c20_7002|m.16520,790,7,8,5,6,3.713,0.7311,1,0.772251,0.809157
m.15220,508,6,6,2,4,-0.563,-0.0509,0.995924,0.900169,0.696274
m.15426,1113,4,7,1,3,-1.804,-0.407,0.915227,0.913809,0.593809
m.15462,185,3,3,1,2,-8.89,-1.2887,0.494137,0.862241,0.300236
m.1569,147,0,1,0,0,-2.995,-0.4045,0.916193,0.913807,0.594618
m.15831,119,3,5,0,1,-0.347,-0.062,0.995117,0.900973,0.693569
m.12976,264,4,4,2,4,-9.389,-0.7858,0.730171,0.900403,0.465757
m.16008,262,2,3,0,1,-1.456,-0.2202,0.972227,0.909909,0.651269
m.16090,446,23,27,12,17,-0.553,-0.1698,0.981991,0.907594,0.665472
m.16351,226,8,11,5,4,-1.956,-0.3056,0.950139,0.912622,0.625843
m.16371,297,3,2,1,3,4.623,0.7084,1,0.778887,0.807484
m.16461,147,0,0,0,0,-6.447,-1.2407,0.514986,0.86581,0.31549
m.16813,293,0,1,0,1,1.716,0.3295,1,0.858965,0.76782
m.17239,445,1,1,1,2,-0.81,-0.1411,0.986485,0.906049,0.673266
m.173,389,201,203,149,185,0.417,0.3936,1,0.848838,0.776343
m.184,376,210,219,161,196,2.814,4.7373,0.000013,0.000002,0.801903
m.278,253,123,133,95,121,4.259,2.6721,0.12635,0.038107,0.811682
m.26952,376,47,46,35,40,0.41,0.3384,1,0.857626,0.769055
m.17435,484,19,21,14,15,-0.33,-0.1076,0.990788,0.904042,0.68208
m.17469,174,2,2,2,2,-0.053,-0.0082,0.99823,0.896873,0.706342
m.12991,100,35,37,20,30,1.487,0.6156,1,0.803551,0.799926
m.17967,175,3,2,4,3,0.707,0.1191,0.999993,0.885185,0.733148
m.6185,175,2,1,4,3,-7.139,-1.3613,0.462362,0.857007,0.277571
m.1806,594,2,2,0,1,4.404,0.6211,1,0.802195,0.800408
m.18179,295,12,14,2,3,-11.999,-1.2006,0.53228,0.868852,0.32836
m.26302,181,4,6,1,0,-8.87,-0.8013,0.721861,0.899381,0.460486
m.18366,538,5,5,1,2,-2.959,-0.5043,0.874106,0.912889,0.561691
m.18373,191,4,8,0,0,-5.044,-0.421,0.909731,0.913799,0.589258
m.11555,111,1,3,0,0,-5.663,-0.9345,0.652673,0.889719,0.415634
m.18767,961,3,3,3,2,8.675,1.0884,0.957923,0.637266,0.82691
m.1911,462,3,3,1,2,-3.77,-0.4248,0.908212,0.913789,0.588018
m.1884,645,2,2,1,2,1.14,0.1101,1,0.886104,0.731408
symbB1.EST_k37c20_26089|m.57196,562,0,0,0,0,6.304,1.0993,0.955824,0.632266,0.827228
symbB1.EST_k37c20_41705|m.82450,593,0,0,0,0,-5.064,-0.5644,0.845757,0.911362,0.541406
m.19242,719,7,7,3,6,-1.462,-0.3233,0.944701,0.912989,0.620382
m.19535,181,2,2,0,2,4.583,0.6718,1,0.789075,0.804645
m.19661,333,7,7,4,5,-9.06,-1.0076,0.617445,0.884004,0.391376
m.12999,500,0,0,0,0,1.879,0.2886,1,0.864853,0.761919
m.19674,317,5,5,2,4,4.62,1.6534,0.682672,0.34586,0.830503
m.19764,354,3,4,1,2,2.248,0.3747,1,0.851944,0.773919
m.21346,340,2,5,1,3,-1.034,-0.2061,0.975203,0.909314,0.655306
m.16676,336,2,2,0,3,-0.773,-0.0779,0.993798,0.902087,0.689631
m.20126,239,1,1,1,1,-10.833,-0.8952,0.672509,0.892702,0.428778
m.5042,675,1,1,1,1,-12.293,-1.0741,0.587192,0.878733,0.369498
m.20952,109,1,0,1,0,-6.277,-0.9323,0.653766,0.889888,0.416368
m.20957,639,9,8,3,4,-0.471,-0.0772,0.99386,0.902039,0.689806
m.14998,1027,0,0,0,0,5.653,0.7866,0.998527,0.754968,0.812976
m.21013,777,1,1,1,1,3.907,0.5726,1,0.813731,0.796002
m.18548,223,1,1,1,0,7.841,0.6704,1,0.789452,0.804532
m.21153,225,3,2,0,2,-11.753,-1.6381,0.347289,0.839317,0.197357
m.21390,125,13,12,12,10,8.666,2.1241,0.362304,0.158186,0.820281
m.21690,240,1,0,0,1,-4.504,-0.4027,0.916885,0.913804,0.595201
m.218,310,12,12,7,13,-1.597,-0.3875,0.922624,0.913753,0.6001
m.22339,1615,0,2,0,0,11.372,1.5868,0.736975,0.379532,0.831303
m.10183,616,0,0,1,0,-3.15,-0.3046,0.950438,0.912599,0.62615
m.13002,220,1,1,0,0,3.316,0.326,1,0.859485,0.767329
m.22940,466,15,15,8,12,1.174,0.3184,1,0.860605,0.766255
m.232,1282,6,3,3,2,0.293,0.0539,0.99976,0.891519,0.720014
m.23328,172,1,1,0,2,-11.582,-1.6096,0.358414,0.840946,0.2051
m.23454,187,22,24,17,22,3.082,0.7582,1,0.764001,0.811069
m.23900,193,2,2,1,3,-5.225,-0.5963,0.829984,0.910274,0.530551
m.24137,338,2,4,0,0,3.869,0.7404,1,0.769461,0.809823
m.24851,900,23,28,10,12,2.409,0.5677,1,0.814845,0.795537
m.24952,767,0,0,0,0,-5.488,-0.7979,0.723682,0.899607,0.461641
m.24983,433,0,0,2,4,7.769,1.3377,0.88606,0.512532,0.831546
m.25258,278,5,6,0,1,-9.057,-0.9741,0.633314,0.886642,0.402464
m.1301,177,0,1,0,0,0.862,0.2019,1,0.876013,0.748116
m.25369,237,1,0,1,0,7.053,1.1314,0.949199,0.617257,0.828099
m.25835,116,6,4,2,2,-2.199,-0.2968,0.952735,0.912414,0.628535
m.25985,421,20,19,9,15,9.044,1.6982,0.64445,0.324115,0.82981
m.26956,495,15,17,8,11,-1.03,-0.2762,0.958527,0.911863,0.634776
m.27117,475,5,6,2,5,-7.518,-1.8819,0.254886,0.827269,0.137099
m.2752,168,10,10,8,7,4.11,0.4528,1,0.838417,0.783483
m.27687,497,2,3,2,3,-3.217,-0.3164,0.946855,0.912854,0.622518
m.27757,157,3,3,1,2,0.372,0.0548,0.999769,0.891436,0.720204
m.27890,192,4,6,0,0,-10.368,-1.4263,0.434049,0.852507,0.257786
m.2792,427,7,8,0,1,-2.247,-0.171,0.981787,0.907655,0.665141
m.2030,436,6,6,2,2,6.956,0.6538,1,0.793862,0.803182
m.13026,699,1,1,1,0,-6.484,-0.9139,0.662996,0.891293,0.422514
m.28159,179,1,2,0,0,-0.081,-0.0085,0.998218,0.896897,0.706273
m.28444,404,6,6,4,6,-4.217,-0.7377,0.756018,0.903396,0.482168
m.13796,395,0,1,0,0,-1.86,-0.2,0.976431,0.909043,0.657038
m.2848,287,4,2,2,3,-0.962,-0.1723,0.981564,0.907721,0.664783
m.28480,131,0,0,0,1,-2.103,-0.2345,0.969014,0.91047,0.647126
m.18341,246,0,0,0,2,-3.819,-0.4604,0.893473,0.913548,0.576315
m.28687,461,1,3,0,2,-2.483,-0.4462,0.899462,0.913676,0.581001
m.2908,2325,4,3,2,1,3.772,0.5942,1,0.808711,0.798008
symbB1.EST_k37c20_4259|m.10144,2381,2,0,2,1,1.348,0.2395,1,0.871382,0.754326
m.29808,242,9,11,6,8,3.686,0.7171,1,0.776373,0.808133
m.20285,293,3,4,2,2,12.36,1.5972,0.728782,0.37418,0.831197
m.29813,455,3,4,4,4,1.66,0.2178,1,0.874092,0.750785
m.30980,429,4,4,2,4,-1.224,-0.1802,0.980174,0.908114,0.662594
m.13131,436,4,5,2,3,5.765,0.6126,1,0.804286,0.799661
m.15859,410,6,5,2,5,-1.29,-0.3197,0.94583,0.91292,0.621498
m.12982,418,2,4,0,4,2.268,0.2757,1,0.866624,0.759979
symbB1.EST_k37c20_6773|m.16013,432,2,3,1,3,15.695,1.5921,0.732813,0.3768,0.83125
