Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.3134,211,0,1,1,2,1.79,0.1964,1,0.876665,0.747178
m.31437,438,5,6,3,5,-4.417,-0.7704,0.738444,0.901392,0.471004
m.31443,176,4,3,1,3,-0.461,-0.0861,0.99304,0.902643,0.687572
m.3146,160,2,3,5,6,7.313,1.1658,0.9413,0.600726,0.828928
m.31460,197,6,5,0,5,10.467,1.5224,0.784569,0.413293,0.831794
m.1007,159,1,0,0,0,7.779,0.874,0.98889,0.72502,0.818139
m.11724,829,7,6,2,5,7.136,1.005,0.97187,0.673841,0.82409
m.3153,509,1,2,1,2,-11.399,-1.3425,0.470599,0.858342,0.283387
m.31542,149,0,0,0,0,-5.162,-0.6932,0.779796,0.905893,0.497399
m.316,240,4,4,1,2,-8.407,-1.1915,0.536196,0.86955,0.331295
m.31623,358,7,5,2,4,0.485,0.1096,1,0.886155,0.73131
m.31625,195,2,2,1,3,13.118,2.4489,0.228821,0.07266,0.814709
m.3168,200,1,1,0,0,-6.071,-0.7871,0.729473,0.900318,0.465315
m.31712,115,6,6,1,4,1.493,0.1402,0.999964,0.882974,0.737138
m.3172,280,1,2,0,1,5.855,0.6568,1,0.793074,0.803429
m.11725,118,0,0,1,1,1.531,0.1598,0.999946,0.880845,0.740735
m.31755,194,0,1,0,0,2.6,0.2598,1,0.868751,0.757534
m.3177,109,0,2,0,1,-3.689,-0.7561,0.746131,0.902285,0.475882
m.3187,131,6,7,2,2,6.331,0.991,0.973909,0.679679,0.823546
m.31925,182,1,1,0,0,-4.011,-0.5281,0.863114,0.912368,0.553689
m.31948,99,1,1,0,1,3,0.5502,1,0.818744,0.793844
m.31989,241,9,9,5,5,3.268,0.7042,1,0.780088,0.807167
m.32071,562,3,2,0,3,6.56,1.0813,0.959251,0.640497,0.826697
m.32074,263,0,0,0,0,-11.409,-0.9411,0.649401,0.88921,0.413434
m.32095,297,1,1,0,2,5.569,1.1071,0.954276,0.628657,0.827449
m.32107,309,2,2,2,1,-1.03,-0.1153,0.989886,0.904522,0.680082
m.11740,629,2,0,0,1,8.52,1.892,0.486983,0.239918,0.825747
m.32183,330,1,1,0,0,-13.86,-1.3634,0.461442,0.856859,0.276923
m.3220,414,6,8,1,3,5.819,0.8838,0.987737,0.721456,0.818654
m.3221,325,5,5,2,7,-8.996,-1.5347,0.3884,0.845451,0.226042
m.32284,203,1,1,1,2,4.429,0.6595,1,0.792361,0.80365
m.323,492,7,9,2,4,-0.808,-0.1293,0.988114,0.905366,0.676406
m.32350,106,0,1,0,0,-5.514,-0.7502,0.749303,0.902646,0.477897
m.32357,153,1,3,1,1,-6.225,-0.6825,0.785466,0.906451,0.501064
m.32358,194,1,1,1,2,4.16,0.5746,1,0.813274,0.796191
m.32359,150,0,0,0,2,0.281,0.0394,0.999556,0.892828,0.716925
m.11744,384,2,2,0,0,2.854,0.5546,1,0.817775,0.794274
m.32400,152,15,17,14,13,-2.67,-0.9538,0.643156,0.888227,0.409206
m.32403,306,1,1,0,0,12.34,1.0587,0.963291,0.650638,0.825986
