Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.13356	586	2	1	1	10	1	1	1.475	2.6496	0.000000	0.000000	0.418821
m.13371	1200	9	14	11	18	29	14	0.964	2.5741	0.000000	0.000000	0.423921
m.1339	464	11	9	10	9	24	10	0.526	1.2716	0.000064	0.000002	0.606801
m.134	169	4	4	2	7	5	4	1.284	2.1930	0.000000	0.000000	0.457199
m.13409	233	9	7	5	11	9	7	1.177	2.3589	0.000000	0.000000	0.440842
m.13423	531	11	11	8	11	11	8	0.771	1.8007	0.000000	0.000000	0.508380
m.13424	343	1	2	2	1	2	0	-0.140	-0.2024	0.992283	0.299008	0.938485
m.13425	114	1	0	0	0	1	1	-0.128	-0.1580	0.992622	0.283200	0.947005
m.13427	257	3	0	0	2	2	1	0.387	0.5593	0.212881	0.012395	0.847984
m.13432	425	0	0	1	1	2	0	0.067	0.0885	0.977269	0.166233	0.970870
m.13434	1309	1	0	0	1	1	1	-0.042	-0.0549	0.999177	0.239072	0.961074
m.13436	653	13	10	6	8	13	4	0.794	1.7309	0.000000	0.000000	0.519102
m.13443	372	19	54	30	59	35	28	0.897	3.8982	0.000000	0.000000	0.377466
m.13444	605	3	10	8	9	9	5	0.617	1.2779	0.000058	0.000002	0.605309
m.13448	293	3	12	6	9	8	3	0.765	1.5243	0.000001	0.000000	0.554051
m.1346	158	26	25	13	18	21	13	0.718	1.9166	0.000000	0.000000	0.491596
m.13471	151	3	5	7	8	5	5	0.550	1.2046	0.000180	0.000007	0.623301
m.13475	469	18	10	5	7	10	7	0.888	1.7449	0.000000	0.000000	0.516914
m.13476	183	5	0	3	5	3	2	0.749	1.2604	0.000077	0.000003	0.609479
m.13486	292	15	37	25	41	30	32	0.737	3.2015	0.000000	0.000000	0.391575
m.13488	163	0	5	3	3	3	2	0.354	0.5794	0.186414	0.010522	0.839367
m.13490	255	12	15	8	19	12	9	1.217	3.0435	0.000000	0.000000	0.397397
m.13492	741	0	0	0	0	1	0	-0.083	-0.1040	0.995824	0.261302	0.955099
m.13513	367	1	2	2	3	3	0	0.507	0.7221	0.061180	0.002887	0.779940
m.13514	432	2	2	2	3	6	2	0.736	1.1927	0.000215	0.000008	0.626355
m.13516	189	15	23	16	23	20	14	0.742	2.2521	0.000000	0.000000	0.450998
m.13531	269	5	5	3	1	6	2	0.188	0.2775	0.749267	0.077390	0.950962
m.13540	365	1	0	2	0	1	2	-0.039	-0.0569	0.999078	0.240016	0.960852
m.1355	1555	11	14	10	14	13	9	0.780	1.9171	0.000000	0.000000	0.491526
m.13557	339	3	4	3	10	7	6	1.417	2.7631	0.000000	0.000000	0.411744
m.13574	515	6	9	3	10	6	7	1.440	2.7168	0.000000	0.000000	0.414550
m.13590	549	28	36	22	41	37	30	0.876	3.3610	0.000000	0.000000	0.387103
m.13617	393	3	5	3	2	5	2	0.239	0.3734	0.553033	0.045682	0.922802
m.13622	146	4	3	2	3	4	2	0.747	1.1592	0.000352	0.000013	0.635155
m.13637	665	1	2	0	0	2	0	0.106	0.1345	0.947273	0.142492	0.970292
m.13659	548	1	3	1	1	3	3	0.334	0.4780	0.343201	0.022973	0.882467
m.1369	374	163	195	112	174	166	124	0.554	4.5364	0.000000	0.000000	0.371459
m.13710	208	2	1	2	1	1	2	-0.100	-0.1313	0.993937	0.272728	0.951247
m.13716	211	1	0	0	0	0	0	-0.127	-0.1616	0.992499	0.284557	0.946390
m.13720	455	3	0	0	0	0	0	-0.136	-0.1632	0.992459	0.285156	0.946113
m.1373	177	0	3	1	1	1	0	-0.053	-0.0635	0.998698	0.243109	0.960108
m.13742	710	0	0	1	1	1	0	-0.041	-0.0532	0.999272	0.238267	0.961261
m.13743	311	21	21	16	22	23	12	0.673	2.0569	0.000000	0.000000	0.473069
m.13744	138	6	5	3	6	7	2	1.021	1.8267	0.000000	0.000000	0.504505
m.13748	486	1	1	2	0	1	0	-0.210	-0.2729	0.997679	0.319964	0.918615
m.13753	335	1	7	3	4	8	5	0.839	1.3762	0.000012	0.000000	0.583279
m.13791	176	0	0	1	0	1	2	0.042	0.0569	0.989693	0.182750	0.970000
m.13811	436	0	1	1	3	5	4	1.047	1.6138	0.000000	0.000000	0.538236
m.13842	680	25	40	20	13	30	19	0.057	0.1628	0.920782	0.128325	0.968681
m.13862	447	11	14	8	13	8	6	0.835	1.8707	0.000000	0.000000	0.498091
m.13863	1106	11	25	13	17	42	1	0.742	1.8503	0.000000	0.000000	0.501042
m.13869	191	0	4	1	4	5	3	1.209	1.7791	0.000000	0.000000	0.511648
m.13885	1031	3	1	4	0	1	0	-0.568	-0.8107	0.507906	0.367582	0.201284
m.139	190	10	9	6	12	13	5	1.083	2.3144	0.000000	0.000000	0.444913
m.1390	448	35	40	26	51	35	22	0.900	3.7665	0.000000	0.000000	0.379277
m.13903	193	2	3	2	3	3	1	0.456	0.7317	0.056149	0.002625	0.776125
m.13957	123	2	1	0	0	1	1	-0.105	-0.1331	0.993840	0.273456	0.950977
m.1396	509	3	3	1	3	3	2	0.801	1.2211	0.000140	0.000005	0.619129
m.13977	445	23	33	21	52	30	29	1.190	4.8611	0.000000	0.000000	0.369532
m.14053	115	0	1	0	0	0	2	-0.022	-0.0301	1.000000	0.227130	0.963667
m.1408	226	15	16	8	5	19	2	0.266	0.5671	0.202333	0.011638	0.844639
m.14083	1506	0	2	1	3	1	2	0.666	0.9455	0.005933	0.000241	0.698694
m.141	436	66	92	53	105	92	62	0.860	4.5853	0.000000	0.000000	0.371118
m.14108	268	2	4	0	4	2	1	0.790	1.2002	0.000192	0.000007	0.624426
m.14109	662	2	0	2	1	5	2	0.276	0.3989	0.499310	0.039058	0.913676
m.14128	211	11	8	12	7	17	19	0.099	0.2206	0.846526	0.101122	0.962055
m.1413	338	11	16	10	12	14	11	0.689	1.6586	0.000000	0.000000	0.530731
m.14134	135	4	0	0	1	3	0	0.202	0.2791	0.746246	0.076773	0.950585
m.14137	212	1	1	3	0	2	2	-0.221	-0.3140	1.000000	0.329917	0.901380
m.1415	197	1	3	8	1	7	5	-0.499	-0.9105	0.292257	0.367648	0.098537
m.14152	569	1	1	2	3	3	2	0.559	0.8082	0.027014	0.001184	0.746748
m.14201	145	0	2	1	2	2	0	0.432	0.6046	0.156518	0.008514	0.828598
m.14203	282	0	0	0	1	0	0	-0.081	-0.0997	0.996140	0.259438	0.955669
m.14213	220	3	2	0	0	0	2	0.048	0.0615	0.988249	0.180346	0.970183
m.14255	219	7	7	3	8	8	5	1.296	2.3337	0.000000	0.000000	0.443120
m.14269	430	0	2	0	1	7	2	0.563	0.8454	0.018368	0.000785	0.733138
m.14297	518	1	0	0	0	1	0	-0.047	-0.0621	0.998770	0.242456	0.960268
m.14312	960	39	60	39	43	40	32	0.298	1.3567	0.000016	0.000001	0.587468
m.14349	643	0	2	3	5	2	2	0.627	1.0728	0.001176	0.000045	0.659272
m.14355	846	28	37	22	41	36	20	0.940	3.6185	0.000000	0.000000	0.381706
m.1436	550	35	62	45	60	66	38	0.478	2.3495	0.000000	0.000000	0.441684
m.14364	158	0	2	0	1	0	0	-0.105	-0.1302	0.994017	0.272282	0.951411
m.1437	515	5	3	3	2	3	3	0.189	0.2969	0.711810	0.070107	0.946165
m.14375	119	3	5	1	3	4	2	0.861	1.2763	0.000060	0.000002	0.605687
m.14377	379	1	0	1	0	0	0	-0.090	-0.1184	0.994790	0.267417	0.953121
m.1440	833	3	2	1	3	4	1	0.810	1.2015	0.000189	0.000007	0.624093
m.14422	417	8	17	10	20	16	14	1.063	2.7234	0.000000	0.000000	0.414143
m.14438	273	5	4	2	1	0	1	-0.322	-0.4079	0.999996	0.346981	0.840890
m.14458	126	5	6	3	5	6	4	0.893	1.4962	0.000001	0.000000	0.559276
m.14465	536	1	0	0	0	1	0	-0.103	-0.1259	0.994289	0.270525	0.952044
m.1447	450	1	4	3	4	4	2	0.608	1.0090	0.002712	0.000107	0.678435
m.14490	140	3	3	5	9	3	1	0.781	1.5781	0.000000	0.000000	0.544404
m.145	467	0	2	1	0	0	3	0.164	0.2263	0.837779	0.098595	0.961149
m.14507	364	0	1	2	0	0	0	-0.303	-0.3970	0.999995	0.345369	0.849801
m.1454	475	6	5	5	10	7	4	0.962	2.1043	0.000000	0.000000	0.467295
m.14543	392	15	20	13	20	15	6	0.756	1.9586	0.000000	0.000000	0.485835
m.1456	431	4	7	3	6	6	1	0.916	1.4779	0.000002	0.000000	0.562754
m.14602	310	2	4	6	6	6	2	0.414	0.8804	0.012559	0.000526	0.720737
m.1461	469	0	1	1	0	5	2	0.424	0.5955	0.166896	0.009198	0.832479
m.14620	195	3	3	1	2	3	0	0.602	0.8639	0.015055	0.000637	0.726535
m.14627	134	0	0	0	3	0	0	0.536	0.7909	0.032110	0.001426	0.753228
m.1463	394	7	11	8	13	9	8	0.897	2.0807	0.000000	0.000000	0.470138
m.14636	169	0	0	0	0	0	1	-0.119	-0.1573	0.992640	0.282934	0.947124
m.14672	359	3	0	2	0	0	0	-0.230	-0.2982	1.000000	0.326282	0.908558
m.14712	256	0	4	2	3	2	2	0.500	0.7629	0.042090	0.001913	0.763920
m.1472	277	13	15	12	21	12	17	0.976	2.6896	0.000000	0.000000	0.416250
m.1473	555	18	29	15	30	20	18	1.003	3.2758	0.000000	0.000000	0.389345
m.14730	134	2	3	2	3	3	2	0.580	0.9013	0.009931	0.000411	0.713517
m.14738	152	4	3	2	2	3	1	0.338	0.4869	0.327219	0.021549	0.878763
m.14739	401	5	2	4	4	4	3	0.440	0.7665	0.040676	0.001843	0.762532
m.14754	356	16	19	13	24	23	17	0.985	2.9322	0.000000	0.000000	0.402498
m.14756	396	8	7	5	8	9	5	0.939	1.8724	0.000000	0.000000	0.497847
m.14765	420	2	3	5	5	7	4	0.572	1.1109	0.000698	0.000027	0.648381
m.1478	617	0	6	3	3	4	2	0.392	0.6240	0.135941	0.007198	0.820360
m.14803	174	0	0	0	2	0	0	0.245	0.3292	0.646193	0.058953	0.937117
m.1487	314	0	0	0	1	0	0	-0.206	-0.2721	0.997575	0.319754	0.918903
m.14897	346	0	4	2	1	6	1	0.204	0.2968	0.712008	0.070144	0.946191
m.14910	573	3	10	6	7	15	6	0.737	1.5321	0.000001	0.000000	0.552624
m.14914	470	2	0	2	1	4	2	0.113	0.1646	0.918879	0.127440	0.968543
m.14915	293	41	64	38	41	45	13	0.281	1.2455	0.000097	0.000003	0.613090
m.14918	406	2	3	4	1	5	1	-0.126	-0.1880	0.992103	0.294103	0.941493
m.14921	762	0	0	1	1	2	0	0.088	0.1199	0.958474	0.149954	0.970735
m.14923	328	12	15	10	18	16	7	0.986	2.7238	0.000000	0.000000	0.414118
m.1493	232	9	14	9	16	15	13	1.053	2.4955	0.000000	0.000000	0.429636
m.14938	965	0	0	0	0	1	0	-0.114	-0.1508	0.992912	0.280446	0.948203
m.14946	234	2	3	2	10	9	5	1.669	3.1691	0.000000	0.000000	0.392641
m.14952	249	0	9	6	9	11	4	0.862	1.7688	0.000000	0.000000	0.513222
m.14956	520	0	1	0	2	2	1	0.434	0.6101	0.150472	0.008122	0.826257
m.14963	1061	34	55	37	68	54	37	0.768	4.1856	0.000000	0.000000	0.374373
m.14967	111	0	1	0	1	0	0	-0.148	-0.1858	0.992100	0.293335	0.941930
m.14972	298	3	2	0	0	3	0	0.217	0.3061	0.693479	0.066806	0.943720
m.14975	171	0	0	0	1	1	0	-0.157	-0.2003	0.992241	0.298306	0.938940
m.14983	218	16	20	12	21	24	14	0.920	2.6983	0.000000	0.000000	0.415702
m.14984	440	11	13	8	11	7	10	0.775	1.9499	0.000000	0.000000	0.487014
m.14994	562	4	12	3	5	7	7	0.976	1.6342	0.000000	0.000000	0.534788
m.14998	1027	5	0	1	0	3	2	0.341	0.4636	0.369855	0.025433	0.888397
m.14999	503	117	207	132	192	159	119	0.448	4.3658	0.000000	0.000000	0.372780
m.1500	101	3	0	0	0	0	0	-0.121	-0.1631	0.992462	0.285118	0.946131
m.15017	296	0	0	1	2	0	0	0.224	0.3284	0.647857	0.059214	0.937356
m.15018	456	0	0	0	1	0	1	-0.075	-0.0915	0.996740	0.255838	0.956729
m.15022	221	19	48	24	50	39	23	0.957	4.1136	0.000000	0.000000	0.375068
m.15026	538	4	7	2	2	5	0	0.392	0.6285	0.131464	0.006919	0.818457
m.15038	332	0	0	0	0	2	0	0.045	0.0566	0.989781	0.182907	0.969988
m.1504	136	11	11	8	6	10	5	0.291	0.6368	0.123491	0.006429	0.814958
m.15047	323	33	45	26	40	33	20	0.660	2.6068	0.000000	0.000000	0.421670
m.1505	423	13	10	8	16	14	10	1.091	2.8071	0.000000	0.000000	0.409181
m.15054	242	38	47	24	55	33	24	1.086	4.0730	0.000000	0.000000	0.375479
m.15058	304	0	0	0	0	1	0	-0.177	-0.2299	0.993499	0.307782	0.931894
m.15063	195	0	0	2	1	2	1	-0.121	-0.1621	0.992489	0.284744	0.946304
m.15067	179	17	23	12	21	23	11	0.992	2.7925	0.000000	0.000000	0.410020
m.15074	356	0	1	0	1	0	0	-0.100	-0.1212	0.994591	0.268584	0.952723
m.15079	260	31	29	20	32	34	26	0.762	2.7372	0.000000	0.000000	0.413300
m.1509	223	13	12	7	10	13	5	0.856	1.8144	0.000000	0.000000	0.506330
m.15090	1470	2	5	3	3	4	0	0.375	0.6331	0.127000	0.006643	0.816517
m.15096	468	5	2	8	2	9	3	-0.305	-0.5853	0.964286	0.363045	0.596140
m.15098	368	0	0	1	0	1	0	-0.099	-0.1246	0.994360	0.269990	0.952233
m.151	201	2	3	0	0	2	1	0.091	0.1145	0.962206	0.152735	0.970836
m.15111	545	42	76	37	57	57	40	0.678	3.0962	0.000000	0.000000	0.395276
m.15114	369	6	3	4	5	4	3	0.678	1.3161	0.000032	0.000001	0.596472
m.15118	99	6	0	2	4	5	0	0.898	1.3778	0.000011	0.000000	0.582939
m.15122	236	1	0	1	0	0	1	-0.050	-0.0623	0.998762	0.242549	0.960245
m.15126	176	7	2	2	3	6	0	0.742	1.2033	0.000184	0.000007	0.623633
m.15134	1205	4	6	3	5	6	1	0.790	1.3686	0.000013	0.000000	0.584901
m.15139	435	62	94	56	96	79	66	0.679	3.8111	0.000000	0.000000	0.378628
m.15141	227	25	30	20	28	36	18	0.668	2.2820	0.000000	0.000000	0.448020
m.15155	891	1	0	0	4	1	0	0.769	1.2241	0.000134	0.000005	0.618378
m.15158	259	1	6	2	4	3	2	0.832	1.3982	0.000008	0.000000	0.578656
m.15162	152	25	36	19	38	32	19	1.006	3.3086	0.000000	0.000000	0.388446
m.15166	611	2	4	1	5	2	0	1.016	1.7381	0.000000	0.000000	0.517974
m.15170	715	1	3	2	3	3	3	0.649	0.9717	0.004321	0.000173	0.690189
m.15172	116	3	0	1	0	1	1	-0.110	-0.1403	0.993431	0.276337	0.949876
m.15175	266	17	15	11	15	18	8	0.750	2.0202	0.000000	0.000000	0.477713
m.15185	362	19	47	29	50	33	26	0.744	3.1202	0.000000	0.000000	0.394371
m.15189	147	2	3	4	4	6	3	0.539	0.9471	0.005820	0.000236	0.698169
m.15196	185	0	0	0	1	0	0	-0.061	-0.0800	0.997579	0.250690	0.958161
m.152	115	1	7	3	7	4	4	1.014	1.8917	0.000000	0.000000	0.495094
m.15200	788	11	8	5	6	7	6	0.659	1.3272	0.000026	0.000001	0.593972
m.15204	648	40	66	42	75	52	44	0.755	3.9768	0.000000	0.000000	0.376522
m.15205	198	1	1	1	3	0	2	0.646	0.9435	0.006076	0.000247	0.699352
m.15213	424	0	0	1	2	1	1	0.305	0.4271	0.441259	0.032579	0.902980
m.15220	508	8	20	19	27	16	17	0.658	2.2593	0.000000	0.000000	0.450271
m.15241	654	14	11	12	12	15	3	0.439	1.0928	0.000896	0.000034	0.653504
m.15247	289	5	7	5	5	9	5	0.653	1.2337	0.000116	0.000004	0.615991
m.15259	327	4	6	4	8	5	4	1.013	1.9008	0.000000	0.000000	0.493809
m.1527	299	24	33	22	41	37	21	0.878	3.2202	0.000000	0.000000	0.390986
m.15281	346	5	4	0	1	1	0	0.025	0.0321	0.995635	0.195662	0.968715
m.15288	254	2	1	0	1	2	0	0.112	0.1426	0.940346	0.138393	0.969934
m.15290	959	4	14	3	8	8	6	1.242	2.3526	0.000000	0.000000	0.441405
m.153	398	3	4	3	2	4	1	0.212	0.3471	0.608698	0.053301	0.931570
m.1530	391	1	18	8	11	7	11	0.745	1.6680	0.000000	0.000000	0.529186
m.15303	441	0	2	0	2	3	0	0.489	0.6848	0.084290	0.004139	0.795020
m.15306	507	2	1	0	0	1	0	0.011	0.0147	0.998158	0.204632	0.967541
m.15314	289	0	0	2	0	0	3	0.034	0.0445	0.993034	0.189220	0.969418
m.15316	161	0	0	0	0	1	1	-0.129	-0.1557	0.992717	0.282326	0.947393
m.15323	305	12	19	8	11	19	8	0.846	1.8909	0.000000	0.000000	0.495207
m.15325	4828	4	1	0	1	3	2	0.332	0.4507	0.394506	0.027805	0.893632
m.15331	209	8	20	9	22	14	10	1.261	3.1743	0.000000	0.000000	0.392466
m.15345	109	0	0	0	0	1	0	-0.161	-0.1941	0.992132	0.296207	0.940251
m.15365	326	0	0	1	0	0	0	-0.123	-0.1595	0.992578	0.283767	0.946751
m.15370	180	18	11	16	18	21	15	0.523	1.5105	0.000001	0.000000	0.556600
m.15377	555	28	48	24	45	37	28	0.879	3.5645	0.000000	0.000000	0.382704
m.15388	345	2	2	2	6	4	2	1.073	1.7277	0.000000	0.000000	0.519605
m.15396	329	3	1	2	0	3	1	0.029	0.0409	0.993860	0.191093	0.969226
m.15400	429	13	17	11	15	19	10	0.708	1.8109	0.000000	0.000000	0.506852
m.15409	308	1	0	0	0	0	0	-0.077	-0.0991	0.996178	0.259177	0.955747
m.15418	181	3	1	7	0	5	4	-0.477	-0.7824	0.577765	0.367457	0.240338
m.15419	125	0	3	1	2	3	1	0.495	0.7270	0.058568	0.002751	0.777989
m.15426	1113	11	14	11	10	17	8	0.441	1.1311	0.000526	0.000020	0.642771
m.15449	425	3	6	3	5	6	2	0.795	1.4612	0.000003	0.000000	0.565981
m.15457	489	0	4	2	2	7	1	0.563	0.8751	0.013317	0.000559	0.722590
m.15462	185	6	6	4	7	7	6	1.008	1.8628	0.000000	0.000000	0.499229
m.1547	193	11	12	7	10	12	4	0.783	1.7491	0.000000	0.000000	0.516261
m.15471	509	3	6	5	4	1	5	0.278	0.5210	0.269751	0.016728	0.864368
m.15477	423	1	9	1	0	0	1	-0.154	-0.2027	0.992293	0.299108	0.938419
m.15479	147	1	3	0	0	0	0	-0.048	-0.0628	0.998737	0.242783	0.960188
m.15484	173	0	0	2	0	1	2	-0.130	-0.1710	0.992260	0.288038	0.944728
m.15491	328	2	0	1	0	5	2	0.477	0.6225	0.137458	0.007293	0.820994
m.15526	304	4	9	4	10	11	4	1.252	2.4219	0.000000	0.000000	0.435447
m.15530	386	5	0	3	10	10	11	1.413	2.8405	0.000000	0.000000	0.407306
m.15544	155	6	10	7	15	13	8	1.107	2.6017	0.000000	0.000000	0.422017
m.15555	863	0	0	5	0	1	0	-0.767	-1.0271	0.132626	0.367445	0.035619
m.15579	236	0	1	0	0	0	0	-0.009	-0.0112	0.999925	0.217765	0.965437
m.15586	275	23	26	12	20	25	14	0.896	2.7208	0.000000	0.000000	0.414303
m.1560	548	29	33	16	25	27	17	0.818	2.5411	0.000000	0.000000	0.426265
m.15618	675	0	1	1	0	0	2	0.053	0.0653	0.986966	0.178359	0.970321
m.1563	266	0	0	0	0	0	1	-0.160	-0.2115	0.992560	0.301997	0.936437
m.15633	448	72	81	44	111	87	67	1.089	5.9034	0.000000	0.000000	0.367742
m.15686	206	7	7	6	11	8	7	1.029	2.2095	0.000000	0.000000	0.455425
m.1569	147	0	1	1	1	0	0	-0.100	-0.1255	0.994313	0.270360	0.952102
m.15693	310	27	33	21	34	36	24	0.753	2.6473	0.000000	0.000000	0.418971
m.15700	399	5	2	3	0	7	2	0.197	0.2830	0.738830	0.075282	0.949652
m.15722	235	26	42	24	42	38	34	0.829	3.2760	0.000000	0.000000	0.389339
m.15724	695	7	6	3	13	7	5	1.618	3.2057	0.000000	0.000000	0.391441
m.1573	128	1	0	0	2	3	0	0.500	0.6853	0.083940	0.004119	0.794815
m.15750	815	5	12	8	12	7	7	0.804	1.9381	0.000000	0.000000	0.488625
m.15756	276	0	0	2	3	3	2	0.550	0.8381	0.019842	0.000852	0.735774
m.1576	513	21	15	14	14	19	11	0.465	1.2591	0.000078	0.000003	0.609791
m.15764	225	3	8	5	10	9	3	1.013	2.1882	0.000000	0.000000	0.457721
m.15779	427	0	0	0	0	2	0	0.099	0.1308	0.950267	0.144375	0.970428
m.15796	107	2	0	2	2	0	1	0.046	0.0651	0.987035	0.178464	0.970314
m.15797	333	0	0	1	0	0	0	-0.133	-0.1698	0.992286	0.287598	0.944945
m.15802	284	0	0	0	0	2	0	0.060	0.0791	0.981597	0.171142	0.970709
m.15803	206	3	1	4	7	7	3	0.957	1.8758	0.000000	0.000000	0.497359
m.1582	284	0	1	3	2	3	1	0.069	0.1086	0.966043	0.155783	0.970908
m.15822	319	0	3	0	6	0	3	1.281	2.0869	0.000000	0.000000	0.469385
m.1583	327	16	22	12	19	16	13	0.852	2.6532	0.000000	0.000000	0.418586
m.15831	119	0	0	2	0	1	1	-0.316	-0.4177	0.999986	0.348357	0.832369
m.15838	328	1	0	1	0	0	3	0.273	0.3654	0.569985	0.047914	0.925542
m.15839	183	12	13	5	10	15	5	1.159	2.5919	0.000000	0.000000	0.422688
m.15850	195	2	3	2	1	3	0	0.073	0.1026	0.969688	0.158893	0.970942
m.15857	420	6	9	6	7	8	5	0.616	1.2548	0.000084	0.000003	0.610829
m.15859	410	16	9	8	7	18	5	0.422	0.8753	0.013288	0.000558	0.722520
m.15899	456	1	6	2	1	3	1	0.003	0.0047	0.999086	0.209738	0.966777
m.15900	181	0	0	1	2	0	0	0.253	0.3223	0.660475	0.061232	0.939156
m.1592	810	2	3	3	6	3	2	0.792	1.3952	0.000008	0.000000	0.579280
m.15923	2429	33	39	32	26	66	12	0.083	0.3110	0.683583	0.065087	0.942374
m.15962	187	1	1	0	1	3	1	0.105	0.1370	0.945187	0.141224	0.970190
m.15986	209	6	3	4	6	6	4	0.769	1.4854	0.000002	0.000000	0.561321
m.1600	347	1	3	1	1	2	0	0.080	0.0998	0.971298	0.160348	0.970944
m.16001	119	3	0	2	1	1	0	-0.210	-0.2819	0.998879	0.322282	0.915250
m.16005	488	0	0	0	0	1	1	-0.157	-0.2021	0.992273	0.298908	0.938550
m.16009	808	20	26	19	20	29	15	0.399	1.2951	0.000044	0.000002	0.601285
m.16029	467	0	4	2	0	3	0	0.102	0.1443	0.938824	0.137537	0.969849
m.16036	305	5	10	6	12	11	8	1.071	2.3267	0.000000	0.000000	0.443765
m.16056	335	0	2	0	2	1	0	0.296	0.4141	0.467776	0.035458	0.907982
m.16090	446	20	33	22	26	28	15	0.471	1.6768	0.000000	0.000000	0.527750
m.16099	216	0	2	0	0	1	4	0.343	0.4561	0.384103	0.026792	0.891450
m.16108	243	3	1	0	3	4	1	0.849	1.3050	0.000038	0.000001	0.599003
m.16119	234	2	3	4	4	8	1	0.540	0.9264	0.007435	0.000304	0.705026
m.16132	345	3	6	4	7	4	3	0.846	1.6154	0.000000	0.000000	0.537964
m.16180	508	3	6	4	9	8	7	1.200	2.3829	0.000000	0.000000	0.438738
m.16211	276	3	3	2	2	2	1	0.174	0.2598	0.781736	0.084405	0.954896
m.16222	296	0	3	2	3	2	0	0.418	0.6212	0.138783	0.007377	0.821545
m.16224	295	0	2	1	3	4	6	0.987	1.5776	0.000000	0.000000	0.544491
m.16233	161	12	14	10	16	16	12	0.888	2.1169	0.000000	0.000000	0.465804
m.16246	388	0	6	1	7	6	2	1.516	2.5499	0.000000	0.000000	0.425633
m.16247	347	0	0	2	1	1	0	-0.328	-0.4583	0.999980	0.353348	0.791434
m.16258	131	1	4	2	0	4	0	0.081	0.1152	0.961733	0.152374	0.970824
m.16259	270	4	3	1	1	3	2	0.337	0.4338	0.427788	0.031165	0.900360
m.1626	326	13	14	10	16	13	13	0.893	2.2336	0.000000	0.000000	0.452894
m.16276	140	0	0	0	2	0	1	0.233	0.3327	0.638907	0.057818	0.936061
m.16281	177	9	8	6	9	13	5	0.850	1.7045	0.000000	0.000000	0.523284
m.16282	297	8	3	2	2	4	3	0.501	0.7683	0.039984	0.001809	0.761839
m.16303	320	0	1	0	0	0	0	-0.051	-0.0646	0.998625	0.243621	0.959982
m.16309	388	2	1	2	6	3	5	1.210	2.1324	0.000000	0.000000	0.463996
m.16319	224	7	8	6	9	8	4	0.820	1.7890	0.000000	0.000000	0.510145
m.16321	224	4	2	2	1	2	1	-0.152	-0.2068	0.992405	0.300464	0.937510
m.16351	226	13	11	8	15	15	11	1.000	2.2771	0.000000	0.000000	0.448501
m.16371	297	3	6	2	5	5	2	1.037	1.6033	0.000000	0.000000	0.540032
m.16384	119	0	2	0	2	2	1	0.415	0.5932	0.169594	0.009378	0.833462
m.16414	306	2	3	1	1	3	0	0.195	0.2501	0.798737	0.088394	0.956868
m.16423	301	0	3	1	5	6	2	1.336	2.1864	0.000000	0.000000	0.457918
m.16442	194	4	2	5	2	1	2	-0.298	-0.4883	0.999989	0.356371	0.754688
m.16446	276	3	0	1	3	4	4	0.954	1.3974	0.000008	0.000000	0.578822
m.16449	935	18	22	13	14	23	6	0.525	1.3936	0.000009	0.000000	0.579613
m.16465	273	7	7	4	8	11	6	1.164	2.2104	0.000000	0.000000	0.455330
m.16496	187	0	0	0	2	2	0	0.423	0.5810	0.184408	0.010384	0.838681
m.1652	495	53	67	39	67	56	48	0.737	3.6521	0.000000	0.000000	0.381116
m.16523	512	0	0	1	1	0	1	-0.080	-0.1048	0.995762	0.261647	0.954992
m.16526	293	1	0	3	5	4	1	0.734	1.3868	0.000010	0.000000	0.581038
m.16548	260	1	1	0	2	1	0	0.298	0.4264	0.442673	0.032729	0.903253
m.1655	411	9	26	9	21	14	10	1.239	3.1879	0.000000	0.000000	0.392015
m.16591	233	9	7	3	9	8	4	1.331	2.4151	0.000000	0.000000	0.436010
m.16598	409	2	3	1	2	0	2	0.450	0.6336	0.126522	0.006614	0.816306
m.166	168	0	4	3	3	3	1	0.292	0.4646	0.367975	0.025256	0.887988
m.16613	231	1	0	0	0	0	0	-0.063	-0.0795	0.997623	0.250463	0.958221
m.16618	108	0	0	1	0	0	0	-0.104	-0.1253	0.994324	0.270278	0.952131
m.16651	319	7	7	3	7	5	5	1.082	2.0169	0.000000	0.000000	0.478138
m.16692	411	16	26	11	26	20	14	1.256	3.5454	0.000000	0.000000	0.383072
m.16736	134	1	1	0	2	3	1	0.564	0.7825	0.034867	0.001559	0.756410
m.16745	191	0	6	0	1	0	0	-0.069	-0.0890	0.996939	0.254729	0.957045
m.1680	375	4	1	2	4	5	4	1.006	1.5973	0.000000	0.000000	0.541065
m.16813	293	0	1	1	0	1	0	-0.126	-0.1687	0.992299	0.287194	0.945143
m.16825	240	0	0	0	1	0	0	-0.142	-0.1738	0.992210	0.289057	0.944217
m.1685	362	3	3	2	3	7	3	0.900	1.4112	0.000006	0.000000	0.575973
m.16853	182	0	3	0	3	0	0	0.528	0.7865	0.033530	0.001494	0.754892
m.16859	1199	5	14	9	11	12	9	0.701	1.6093	0.000000	0.000000	0.539004
m.16863	391	0	0	0	1	2	1	0.116	0.1479	0.935529	0.135729	0.969656
m.16864	208	0	2	0	1	4	0	0.266	0.3729	0.554093	0.045819	0.922975
m.16877	305	0	0	0	0	1	2	0.087	0.1136	0.962810	0.153199	0.970849
m.1688	655	0	0	0	0	2	1	0.065	0.0845	0.979180	0.168321	0.970812
