Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.11092	1439	0	0	0	1	0	0	-0.135	-0.1690	0.992297	0.287305	0.945089
m.11100	1144	21	26	16	22	31	13	0.701	2.1430	0.000000	0.000000	0.462775
m.11107	150	21	25	15	24	23	14	0.854	2.5100	0.000000	0.000000	0.428546
m.11115	300	3	0	2	0	1	5	0.134	0.1799	0.901627	0.120004	0.967200
m.11137	540	1	3	2	1	1	2	-0.210	-0.2686	0.997141	0.318828	0.920143
m.11149	227	17	19	8	22	17	11	1.387	3.4658	0.000000	0.000000	0.384698
m.11152	593	3	0	2	1	3	1	0.044	0.0596	0.988852	0.181339	0.970110
m.1116	106	0	0	1	0	0	0	-0.105	-0.1361	0.993659	0.274663	0.950522
m.11167	387	0	0	0	1	0	0	-0.120	-0.1523	0.992853	0.281024	0.947957
m.1126	148	5	7	4	11	7	5	1.297	2.7860	0.000000	0.000000	0.410397
m.11265	213	4	3	2	4	3	3	0.857	1.5033	0.000001	0.000000	0.557943
m.11298	283	2	3	1	0	2	2	0.167	0.2345	0.824776	0.095016	0.959764
m.113	378	47	111	56	114	72	57	0.853	5.0621	0.000000	0.000000	0.368751
m.11313	319	1	0	0	0	0	1	-0.111	-0.1373	0.993597	0.275143	0.950339
m.1133	280	3	4	5	4	5	3	0.356	0.6452	0.115794	0.005963	0.811431
m.11340	155	7	3	5	4	4	4	0.318	0.5536	0.220812	0.012974	0.850429
m.11346	282	0	3	1	2	3	3	0.704	0.9924	0.003344	0.000133	0.683615
m.1135	538	10	9	12	14	14	16	0.537	1.4528	0.000003	0.000000	0.567625
m.11354	351	24	26	18	29	30	16	0.780	2.7387	0.000000	0.000000	0.413209
m.11405	546	0	1	0	2	1	0	0.243	0.3430	0.617332	0.054562	0.932872
m.1141	910	0	0	2	1	2	0	-0.190	-0.2465	0.994788	0.312704	0.927260
m.11430	456	0	0	0	0	0	1	0.024	0.0312	0.995794	0.196128	0.968659
m.11436	297	1	1	2	0	1	0	-0.224	-0.2787	0.998438	0.321467	0.916473
m.11443	1087	5	5	0	5	6	0	1.201	1.9439	0.000000	0.000000	0.487831
m.1145	390	0	3	2	3	0	1	0.319	0.4847	0.331133	0.021895	0.879681
m.11458	213	5	9	9	7	8	6	0.266	0.5863	0.177868	0.009936	0.836413
m.11472	334	6	11	7	9	14	5	0.768	1.6378	0.000000	0.000000	0.534185
