m.14109	662	1	5	2	2	0	2
m.14128	211	7	17	19	11	8	12
m.1413	338	12	14	11	11	16	10
m.14134	135	1	3	0	4	0	0
m.14137	212	0	2	2	1	1	3
m.1415	197	1	7	5	1	3	8
m.14152	569	3	3	2	1	1	2
m.14201	145	2	2	0	0	2	1
m.14203	282	1	0	0	0	0	0
m.14213	220	0	0	2	3	2	0
m.14255	219	8	8	5	7	7	3
m.14269	430	1	7	2	0	2	0
m.14297	518	0	1	0	1	0	0
m.14312	960	43	40	32	39	60	39
m.14349	643	5	2	2	0	2	3
m.14355	846	41	36	20	28	37	22
m.1436	550	60	66	38	35	62	45
m.14364	158	1	0	0	0	2	0
m.1437	515	2	3	3	5	3	3
m.14375	119	3	4	2	3	5	1
m.14377	379	0	0	0	1	0	1
m.1440	833	3	4	1	3	2	1
m.14422	417	20	16	14	8	17	10
m.14438	273	1	0	1	5	4	2
m.14458	126	5	6	4	5	6	3
m.14465	536	0	1	0	1	0	0
m.1447	450	4	4	2	1	4	3
m.14490	140	9	3	1	3	3	5
m.145	467	0	0	3	0	2	1
m.14507	364	0	0	0	0	1	2
